from,to,year,type,pps
MWIE,FCN,2012,2,"1,2"
RPR,FCN,2014,2,0
RPR,FCN,2013,2,"0,25"
F95,FF,2020,1,"0,6"
FCK,FF,2021,1,2
VFLW,FKO,2022,1,"1,6"
DSC,FKR,2022,1,"0,2"
S04,FKR,2022,1,0
TSGH,FKR,2012,1,0
BSC,FMA,2022,1,"1,4"
VFLW,FMA,2012,1,"0,2"
ABE,FSVM,2019,2,"1,8"
BS,FSVM,2021,2,"0,8"
JML,FSVM,2020,2,"0,2"
JML,FSVM,2019,2,0
KH,FSVM,2014,2,"1,8"
MSC,FSVM,2015,2,"1,6"
SS,FSVM,2017,2,"0,6"
B04,GS,2022,1,1
FCN,GV,2014,1,"0,6"
DAST,H96,2016,2,"1,6"
MF,H96,2015,2,"1,6"
TD,H96,2018,2,"0,6"
TK,H96,2013,2,"1,2"
TS,H96,2015,2,0
FCB,HF,2021,1,2
B04,HH,2018,1,2
FCA,HH,2021,1,"0,8"
S04,HS,2019,1,"1,2"
S04,HS,2012,1,"0,4"
TSGH,HS,2016,1,"0,8"
VFB,HS,2015,1,"1,4"
VFB,HS,2014,1,"1,4"
TSGH,HST,2012,1,"1,2"
BHO,HSV,2018,2,"0,4"
BLAB,HSV,2015,2,"1,4"
BVM,HSV,2013,2,"1,6"
CT,HSV,2018,2,"1,4"
JZ,HSV,2014,2,1
MG,HSV,2016,2,"0,2"
MSL,HSV,2014,2,"1,4"
PKN,HSV,2015,2,0
RC,HSV,2011,2,1
TF,HSV,2011,2,"1,4"
B04,HW,2021,1,1
VFB,HW,2018,1,"0,6"
FCB,JH,2018,1,"2,4"
FCB,JH,2013,1,"2,6"
S04,JK,2014,1,"1,4"
BSC,JKL,2020,1,1
BVB,JKLO,2015,1,"1,2"
VFB,JKR,2016,1,"1,6"
BSC,JLU,2015,1,"0,8"
FCA,JLU,2012,1,"1,6"
RBL,JMA,2021,1,"1,29"
FSVM,JML,2019,1,"1,2"
FCB,JN,2023,1,"1,8"
RBL,JN,2021,1,"0,8"
TSGH,JN,2019,1,"0,8"
HSV,JZ,2015,1,"0,4"
FSVM,KH,2015,1,"0,8"
BMG,LFA,2015,1,0
BVB,LFA,2020,1,"0,8"
VFLW,LGK,2012,1,1
SGF,LPR,2013,1,"0,67"
FCA,MBA,2019,1,"1,4"
S04,MBA,2020,1,"0,4"
TSGH,MBAB,2012,1,"0,2"
SGF,MBÜ,2013,1,"0,6"
H96,MF,2015,1,"0,6"
VFLW,MF,2021,1,"0,2"
FCK,MG,2021,1,"0,4"
HSV,MG,2018,1,"0,2"
TSGH,MG,2015,1,1
FCI,MHE,2016,1,"0,2"
FCN,MK,2019,1,"0,2"
FCKA,MKU,2012,1,"0,4"
TSGH,MKU,2013,1,"0,8"
HSV,MOE,2011,1,"0,2"
BMG,MR,2021,1,"1,2"
BVB,MR,2022,1,"1,8"
FCA,MSC,2020,1,"0,2"
FSVM,MSC,2017,1,1
VFLW,MSC,2018,1,"0,8"
H96,MSL,2013,1,"0,8"
HSV,MSL,2014,1,"0,2"
SCF,MSO,2012,1,"0,6"
VFLW,MVB,2021,1,0
FCA,MW,2022,1,"1,2"
FCA,MW,2016,1,"1,6"
S04,MW,2017,1,"1,2"
VFB,MW,2019,1,"0,4"
VFB,MWI,2022,1,"1,2"
FCB,NK,2019,1,"1,4"
SGE,NK,2018,1,"0,6"
SVD,NM,2016,1,0
SGE,OG,2023,1,"1,6"
VFLW,OG,2021,1,"1,4"
BSC,OR,2012,1,"0,8"
B04,PB,2021,1,"0,8"
BVB,PB,2017,1,"0,4"
BSC,PD,2021,1,1
BSC,PD,2019,1,"1,6"
FCB,PGU,2016,1,"2,6"
HSV,PKN,2015,1,0
VFB,PM,2022,1,"0,4"
BVB,PST,2018,1,"0,8"
FCK,PST,2017,1,"0,2"
SVD,RBER,2016,1,0
ABE,RBL,2021,2,"0,8"
DT,RBL,2021,2,2
JMA,RBL,2021,2,"0,8"
JN,RBL,2019,2,"2,6"
MR,RBL,2022,2,2
RR,RBL,2018,2,"1,6"
HSV,RC,2013,1,0
HSV,RC,2011,1,"1,2"
S04,RDM,2015,1,2
B04,RDU,2012,1,"0,6"
SVW,RDU,2014,1,"0,2"
FCI,RHA,2016,1,"0,2"
RBL,RHA,2018,1,"1,4"
B04,ROS,2017,1,"1,2"
FCN,RPR,2013,1,"0,25"
RBL,RR,2019,1,"1,6"
S04,RR,2011,1,"1,8"
BSC,RW,2012,1,"0,8"
ABR,S04,2015,2,3
CG,S04,2020,2,"0,6"
DGR,S04,2021,2,"0,8"
DT,S04,2017,2,"1,8"
DWA,S04,2019,2,2
HS,S04,2019,2,"0,8"
HS,S04,2011,2,2
JK,S04,2012,2,1
MBA,S04,2020,2,"0,6"
MW,S04,2016,2,0
RDM,S04,2014,2,"1,8"
TR,S04,2022,2,"0,6"
CST,SCF,2012,2,1
AH,SGE,2018,2,"0,8"
AVE,SGE,2015,2,0
DTO,SGE,2023,2,"1,5"
NK,SGE,2016,2,"0,6"
OG,SGE,2021,2,"0,8"
TS,SGE,2014,2,"1,2"
FKR,SGF,2013,2,"0,8"
LPR,SGF,2013,2,"0,67"
TSGH,SH,2022,1,"0,4"
B04,SHY,2014,1,"0,8"
B04,SLE,2014,1,"2,6"
B04,SLE,2013,1,3
FCK,SOL,2012,1,"0,2"
BSC,SS,2023,1,"0,4"
FSVM,SS,2019,1,0
NM,SVD,2016,2,"0,8"
RBER,SVD,2016,2,0
TFR,SVD,2016,2,"0,8"
ANO,SVW,2016,2,"1,4"
FKO,SVW,2017,2,"1,8"
RDU,SVW,2013,2,0
VS,SVW,2014,2,"1,8"
B04,TK,2017,1,1
BSC,TK,2022,1,0
H96,TK,2015,1,"0,4"
VFLB,TR,2022,1,0
H96,TS,2016,1,0
SGE,TS,2015,1,2
SVW,TS,2013,1,"0,6"
VFB,TSCH,2014,1,"0,2"
ABR,TSGH,2022,2,"1,8"
AS,TSGH,2019,2,1
FKR,TSGH,2012,2,0
HS,TSGH,2015,2,"0,8"
JN,TSGH,2016,2,"1,4"
MBAB,TSGH,2012,2,"1,2"
MG,TSGH,2013,2,"1,6"
MKU,TSGH,2012,2,"0,8"
MRA,TSGH,2020,2,"2,25"
PM,TSGH,2023,2,0
BVB,TT,2017,1,"2,2"
FSVM,TT,2014,1,"1,8"
DSC,UN,2021,1,"0,2"
AVE,VFB,2014,2,"0,2"
AZO,VFB,2015,2,"1,6"
BLAB,VFB,2022,2,"0,4"
HS,VFB,2014,2,"1,6"
HS,VFB,2014,2,"1,4"
JKR,VFB,2015,2,"1,6"
JLU,VFB,2016,2,0
MW,VFB,2018,2,"0,6"
MWI,VFB,2022,2,"1,8"
NW,VFB,2019,2,"1,75"
SH,VFB,2023,2,"1,6"
TK,VFB,2018,2,"2,6"
TSCH,VFB,2013,2,"2,2"
TL,VFLB,2022,2,"1,2"
AJO,VFLW,2017,2,"1,6"
BLAB,VFLW,2018,2,"0,4"
DH,VFLW,2012,2,"1,4"
FKO,VFLW,2021,2,"1,4"
LGK,VFLW,2012,2,2
MF,VFLW,2021,2,"0,2"
MSC,VFLW,2017,2,1
MVB,VFLW,2021,2,"2,6"
NK,VFLW,2022,2,"0,4"
OG,VFLW,2019,2,"1,8"
VIS,VFLW,2016,2,"0,8"
VFLW,VIS,2017,1,"0,6"
SVW,VS,2016,1,"0,8"
SEFC,JL,2022,1,"0,8"
JS,SEFC,2022,2,1
FCE,FR,2022,1,"0,2"
JA,FCE,2022,2,"0,4"
VICF,UM,2022,1,"1,4"
QS,VICF,2022,2,"1,8"
RCC,EC,2022,1,"0,2"
CC,RCC,2022,2,"1,2"
JA,FCE,2022,1,"0,2"
PMA,FCE,2022,2,"0,4"
VCF,GG,2023,1,"0,8"
RBA,VCF,2023,2,"1,2"
FCE,PMA,2023,1,"0,8"
SBE,FCE,2023,2,0
SEFC,JS,2023,1,"0,8"
JLM,SEFC,2023,2,"2,6"
RVAD,PA,2023,1,"0,8"
PP,RVAD,2023,2,"1,4"
RCD,DMA,2023,1,"0,6"
LG,RCD,2023,2,"0,8"
GCF,QSF,2023,1,"0,4"
PBO,GCF,2023,2,"1,4"
RCC,CC,2023,1,"0,8"
RB,RCC,2023,2,"0,8"
UDA,RU,2023,1,1
VM,UDA,2023,2,"0,2"
RV,AI,2023,1,"0,6"
FR,RV,2023,2,"1,8"
ALA,JAC,2021,1,"0,2"
JLM,ALA,2021,2,"0,4"
GCF,MI,2021,1,"0,2"
QSF,GCF,2021,2,1
UDLE,PLO,2021,1,"0,4"
JPE,UDLE,2021,2,"0,4"
FCBA,RK,2021,1,"1,2"
SBA,FCBA,2021,2,1
FCE,FE,2021,1,"0,4"
SEMA,FCE,2021,2,"0,5"
FCE,SEMA,2021,1,"0,4"
FR,FCE,2021,2,"1,4"
UDLE,JPE,2021,1,"0,4"
AL,UDLE,2021,2,"0,8"
CCF,ACE,2022,1,"0,4"
SE,CCF,2022,2,"1,2"
GRFC,RMO,2022,1,"0,2"
RT,GRFC,2022,2,"0,8"
RCDM,LG,2022,1,0
JAG,RCDM,2022,2,"1,2"
ALA,JLM,2022,1,"0,4"
JV,ALA,2022,2,"1,2"
GRFC,RT,2022,1,"0,8"
AKA,GRFC,2022,2,"1,6"
RCD,VM,2022,1,"0,2"
LBL,RCD,2022,2,1
RCD,LBL,2022,1,"0,6"
DMA,RCD,2022,2,"0,8"
ABI,MAR,2022,1,"1,4"
EV,ABI,2022,2,2
ALA,JV,2022,1,"1,2"
LG,ALA,2022,2,"1,2"
VCF,PBO,2022,1,"1,2"
GG,VCF,2022,2,"1,2"
VCF,VO,2021,1,"1,4"
PBO,VCF,2021,2,2
GCF,PBO,2021,1,"0,8"
MI,GCF,2021,2,0
RVAD,SE,2021,1,"0,2"
PA,RVAD,2021,2,"0,8"
RM,ZIZI,2021,1,"2,6"
CA,RM,2021,2,"2,6"
GRFC,DMA,2021,1,"0,2"
RMO,GRFC,2021,2,"0,6"
VICF,JAC,2020,1,"1,2"
UM,VICF,2020,2,"1,6"
FCBA,QS,2020,1,"2,4"
RK,FCBA,2020,2,"1,4"
FCE,PA,2020,1,"1,4"
JA,FCE,2020,2,2
RCC,OGA,2020,1,"0,4"
EC,RCC,2020,2,"2,4"
ABI,GGA,2021,1,"1,4"
MAR,ABI,2021,2,"1,4"
SDH,MI,2021,1,"0,2"
PA,SDH,2021,2,"0,8"
ALA,PMA,2021,1,"0,8"
AB,ALA,2021,2,"0,8"
FCE,JA,2021,1,"0,4"
FE,FCE,2021,2,"1,2"
ALA,AB,2021,1,"0,2"
JAC,ALA,2021,2,"1,6"
VCF,JG,2021,1,"0,6"
VO,VCF,2021,2,"1,4"
ALC,VCF,2019,2,"1,6"
VCF,MAR,2019,1,2
PMA,RCD,2019,2,"0,6"
RCD,DG,2019,1,"0,8"
LC,CDL,2019,2,1
CDL,MAP,2019,1,"0,4"
OGA,RCC,2019,2,1
RCC,FE,2019,1,"0,6"
JAG,CDL,2019,2,1
CDL,LC,2019,1,"0,6"
AB,RCD,2019,2,"1,6"
RCD,PMA,2019,1,"0,4"
FCBA,EV,2020,2,"1,8"
QS,FCBA,2020,1,"2,4"
ATR,RBE,2020,2,"1,4"
RBE,RU,2020,1,"0,8"
FRU,RCD,2020,2,0
RCD,AB,2020,1,"0,8"
VO,VCF,2020,2,"1,4"
VCF,ALC,2020,1,"0,8"
JMU,ALA,2020,2,1
ALA,AG,2020,1,0
RBE,ATR,2020,1,"2,2"
MPE,RBE,2020,2,"1,2"
VCF,VO,2020,1,"1,4"
JG,VCF,2020,2,"1,4"
ALA,JMU,2020,1,1
PMA,ALA,2020,2,"0,8"
RCDM,VM,2020,1,"0,8"
LG,RCDM,2020,2,"1,6"
SDH,LF,2018,1,"0,2"
FR,SDH,2018,2,"0,4"
RM,JL,2018,1,"0,2"
SSO,RM,2018,2,"2,4"
RCC,AMO,2018,1,"0,8"
MCAR,RCC,2018,2,"1,4"
AB,EBE,2018,1,"0,4"
GGA,AB,2018,2,"2,2"
VICF,JAC,2018,1,1
LG,VICF,2018,2,"0,8"
RSO,AG,2018,1,"0,6"
IA,RSO,2018,2,"2,2"
VICF,LG,2019,1,"0,6"
JAC,VICF,2019,2,1
RCC,MCAR,2019,1,"0,8"
FE,RCC,2019,2,"1,4"
SEFC,PMA,2019,1,"0,8"
JC,SEFC,2019,2,"2,4"
RM,SSO,2019,1,"1,8"
ZIZI,RM,2019,2,2
RV,MI,2019,1,0
PJ,RV,2019,2,1
RCD,RU,2019,1,"2,2"
DG,RCD,2019,2,"0,8"
SDH,FR,2019,1,"1,4"
MI,SDH,2019,2,"0,8"
ALA,AB,2019,1,"0,8"
AG,ALA,2019,2,1
RBE,QS,2019,1,"1,4"
RU,RBE,2019,2,1
SEFC,JCU,2019,1,"1,4"
JL,SEFC,2019,2,2
RCD,DG,2018,1,"2,6"
RU,RCD,2018,2,"1,4"
RM,ZIZI,2018,1,"1,6"
JL,RM,2018,2,"2,6"
GFC,PMA,2018,1,"0,8"
EU,GFC,2018,2,"1,6"
ABI,CZ,2018,1,"0,6"
EBE,ABI,2018,2,"1,2"
SEFC,VMO,2018,1,2
PMA,SEFC,2018,2,"1,4"
RCC,JCU,2018,1,1
AMO,RCC,2018,2,"1,6"
RSO,IA,2018,1,"1,2"
AG,RSO,2018,2,"1,4"
CDL,AG,2018,1,"0,8"
MAP,CDL,2018,2,"0,2"
SEFC,VMO,2018,1,"0,6"
JC,SEFC,2018,2,"2,6"
RCD,QSF,2018,1,"0,2"
QSF,DG,2018,2,"2,6"
RSO,EU,2018,1,"0,8"
IA,RSO,2018,2,2
UDLE,JMU,2018,1,"0,2"
PLO,UDLE,2018,2,2
DLC,CPA,2018,1,"0,4"
CS,DLC,2018,2,"0,4"
FCM,MI,2018,1,"0,6"
JOG,FCM,2018,2,"0,4"
SEFC,EBE,2017,1,"1,4"
VMO,SEFC,2017,2,"0,8"
UDLP,PAY,2017,1,"0,2"
PJ,UDLP,2017,2,"1,2"
DLC,PME,2017,1,"1,4"
CPA,DLC,2017,2,"0,8"
VICF,FE,2017,1,"1,4"
JAC,VICF,2017,2,"2,6"
UDLP,MAMA,2017,1,"1,2"
PAY,UDLP,2017,2,0
ALA,AB,2017,1,0
GDB,ALA,2017,2,"0,6"
ALA,JACA,2017,1,"0,6"
AB,ALA,2017,2,"1,8"
VCF,PAY,2016,1,0
VO,VCF,2016,2,2
GRFC,PJ,2016,1,"0,2"
LAL,GRFC,2016,2,"0,6"
VCF,VO,2016,1,"1,2"
CPR,VCF,2016,2,1
RBE,GPO,2016,1,"0,6"
VSA,RBE,2016,2,"1,4"
FCM,JR,2016,1,"1,2"
MRO,FCM,2016,2,"0,2"
VCF,CPR,2016,1,1
VO,VCF,2016,2,"1,2"
CAO,JC,2017,1,0
PVA,CAO,2017,2,"0,6"
SG,AB,2017,1,"0,6"
RU,SG,2017,2,"0,8"
DLC,GGA,2017,1,"0,2"
PME,DLC,2017,2,"1,6"
FCM,MRO,2017,1,"0,8"
MI,FCM,2017,2,"1,4"
GRFC,LAL,2017,1,"0,2"
TAD,GRFC,2017,2,0
RBE,VSA,2017,1,"1,2"
ATR,RBE,2017,2,1
RBE,ATR,2017,1,"0,4"
QS,RBE,2017,2,"1,8"
UDLP,QS,2017,1,0
MAMA,UDLP,2017,2,"1,2"
VCF,VO,2017,1,1
MAR,VCF,2017,2,"1,8"
ABI,EV,2017,1,"1,4"
CZ,ABI,2017,2,"1,4"
ALA,MAP,2017,1,"2,2"
LZ,ALA,2017,2,0
FCBA,LEN,2017,1,3
EV,FCBA,2017,2,3
RCC,EBE,2017,1,"2,6"
JCU,RCC,2017,2,"1,4"
VICF,MAR,2016,1,"0,8"
FE,VICF,2016,2,"1,8"
CAO,EMA,2016,1,1
JC,CAO,2016,2,0
SEFC,JS,2017,1,"1,4"
EBE,SEFC,2017,2,"2,6"
FCM,JG,2016,1,"1,4"
JR,FCM,2016,2,1
RCD,COG,2016,1,"1,4"
QSF,RCD,2016,2,1
DLC,VSA,2016,1,"0,8"
GGA,DLC,2016,2,1
UDLE,RU,2016,1,"0,8"
JMU,UDLE,2016,2,"1,8"
SEFC,UM,2016,1,"0,6"
JS,SEFC,2016,2,"2,2"
GRFC,JOG,2016,1,"1,8"
PJ,GRFC,2016,2,"0,4"
RBE,JME,2016,1,1
GPO,RBE,2016,2,1
GCF,FE,2016,1,"0,4"
JE,GCF,2016,2,"1,6"
VCF,GN,2016,1,"0,6"
PAY,VCF,2016,2,2
GRFC,JRS,2016,1,"0,6"
JOG,GRFC,2016,2,"1,6"
RBE,PME,2016,1,"0,2"
JME,RBE,2016,2,
RM,RB,2016,1,2
ZIZI,RM,2016,2,"2,6"
RCD,SE,2015,1,"0,8"
COG,RCD,2015,2,"0,8"
VCF,NES,2015,1,"1,4"
VO,VCF,2015,2,"1,6"
VCF,VO,2015,1,"1,6"
GN,VCF,2015,2,"0,6"
RSO,DM,2015,1,"0,6"
EU,RSO,2015,2,"1,4"
UDLE,LAL,2015,1,"0,8"
RU,UDLE,2015,2,1
UDLP,PHE,2015,1,"0,6"
QS,UDLP,2015,2,1
RM,CA,2015,1,"2,6"
RB,RM,2015,2,"2,6"
SDEI,GGA,2015,1,"0,8"
JLM,SDEI,2015,2,"1,6"
GCF,PAF,2015,1,"0,2"
FE,GCF,2015,2,"0,6"
GRFC,ARE,2015,1,"0,4"
JRS,GRFC,2015,2,2
DLC,VF,2015,1,"0,4"
VSA,DLC,2015,2,"0,6"
UDA,JIM,2015,1,"0,4"
SBA,UDA,2015,2,"1,2"
FCCO,MD,2015,1,0
JARO,FCCO,2015,2,"0,4"
GCF,QSF,2015,1,"1,8"
PAF,GCF,2015,2,"1,2"
GRFC,JC,2015,1,"0,4"
ARE,GRFC,2015,2,1
GCF,CCO,2015,1,"0,6"
QSF,GCF,2015,2,"1,2"
UDA,FR,2014,1,"0,2"
JIM,UDA,2014,2,"1,2"
RSO,JAR,2014,1,"0,8"
DM,RSO,2014,2,"1,2"
FCCO,AFE,2014,1,"0,4"
MD,FCCO,2014,2,"0,6"
UDLE,JLM,2014,1,"0,8"
LAL,UDLE,2014,2,"1,4"
VCF,JAP,2014,1,1
VO,VCF,2014,2,"1,6"
DLC,FV,2014,1,"0,8"
VF,DLC,2014,2,"0,8"
UDLE,JC,2014,1,"1,6"
JLM,UDLE,2014,2,"0,8"
RCD,JAG,2014,1,"0,2"
SE,RCD,2014,2,1
FCM,BSCHU,2014,1,"1,4"
JG,FCM,2014,2,"1,2"
FCBA,GMAR,2014,1,"1,8"
LEN,FCBA,2014,2,"2,6"
GRFC,LAL,2014,1,"0,8"
JC,GRFC,2014,2,"1,6"
RCC,LEN,2014,1,"2,4"
EBE,RCC,2014,2,"1,8"
FCBA,TV,2013,1,3
GMAR,FCBA,2013,2,3
CAO,JLM,2013,1,"0,6"
JG,CAO,2013,2,"1,2"
RBE,PME,2013,1,"0,4"
JCG,RBE,2013,2,"0,2"
VCF,MD,2013,1,0
NE,VCF,2013,2,"0,8"
VCF,NE,2013,1,"0,8"
JAP,VCF,2013,2,"1,6"
RBE,JCG,2014,1,"0,2"
GCA,RBE,2014,2,"0,6"
GCF,LG,2014,1,"0,4"
CCO,GCF,2014,2,"0,8"
RCD,MP,2012,1,"0,8"
JAG,RCD,2012,2,"1,2"
VCF,MAP,2012,1,"1,4"
EV,VCF,2012,2,"2,4"
DLC,JLO,2012,1,"0,4"
DP,DLC,2012,2,"0,8"
SEFC,MI,2013,1,"0,8"
UM,SEFC,2013,2,2
FCBA,TV,2013,1,"2,4"
JRO,FCBA,2013,2,"2,6"
GRFC,JANQ,2013,1,"1,4"
LAL,GRFC,2013,2,"1,2"
RCDM,JC,2013,1,"0,2"
GMA,RCDM,2013,2,"1,4"
DLC,DP,2013,1,"0,2"
FV,DLC,2013,2,"0,8"
RCC,PHE,2013,1,"0,4"
ARE,RCC,2013,2,"0,8"
FCBA,JRO,2013,1,2
TV,FCBA,2013,2,"2,6"
RCC,ARE,2013,1,"1,4"
LEN,RCC,2013,2,"1,2"
RVAD,MD,2013,1,"0,6"
JIM,RVAD,2013,2,"0,8"
UDLE,JIM,2013,1,"1,2"
JC,UDLE,2013,2,"1,2"
VCF,EV,2013,1,"2,4"
MD,VCF,2013,2,"1,2"
RSO,PMO,2013,1,"1,6"
JAR,RSO,2013,2,"1,2"
ABI,MBI,2013,1,"1,6"
EV,ABI,2013,2,"1,8"
RM,JM,2013,1,"2,2"
CA,RM,2013,2,"2,6"
FCM,MPE,2013,1,"0,8"
BSCHU,FCM,2013,2,1
RV,JRS,2012,1,"0,6"
PJ,RV,2012,2,"1,4"
FCBA,PGU,2012,1,2
TV,FCBA,2012,2,3
VCF,UM,2012,1,"1,8"
MAP,VCF,2012,2,1
GRFC,ARE,2012,1,"1,2"
LAL,GRFC,2012,2,"1,2"
VICF,JFM,2012,1,"0,2"
MALO,VICF,2012,2,"1,6"
RSA,JOG,2012,1,"0,6"
ACE,RSA,2012,2,"0,2"
SEFC,MAR,2012,1,"0,4"
MI,SEFC,2012,2,"1,4"
SG,ITE,2012,1,"0,8"
JACL,SG,2012,2,1
VICF,JCG,2011,1,"0,8"
JFM,VICF,2011,2,"1,6"
AM,GMA,2011,1,"1,2"
DSI,AM,2011,2,"2,2"
SAR,JAG,2011,1,0
MJI,SAR,2011,2,"0,4"
RSA,HCU,2011,1,1
JOG,RSA,2011,2,"2,2"
RCDM,ML,2011,1,"0,8"
JC,RCDM,2011,2,"0,6"
GRFC,FGO,2011,1,"0,6"
ARE,GRFC,2011,2,"1,8"
