from,to,year,type,pps,effect
PGU,FCB,2013,2,"2,6",4
RBER,SVD,2016,2,0,4
ABR,S04,2015,2,3,5
AH,SGE,2018,2,"0,8",5
ANO,BSC,2020,2,"1,25",5
ANO,SVW,2016,2,"1,4",5
AS,TSGH,2019,2,1,5
AVE,SGE,2015,2,0,5
BHO,HSV,2018,2,"0,4",5
BS,FSVM,2021,2,"0,8",5
CA,FCB,2016,2,3,5
CG,S04,2020,2,"0,6",5
CST,SCF,2012,2,1,5
DGR,S04,2021,2,"0,8",5
DH,VFLW,2012,2,"1,4",5
DT,S04,2017,2,"1,8",5
DWA,S04,2019,2,2,5
ETE,BVB,2022,2,"2,4",5
FKR,DSC,2021,2,1,5
FKR,SGF,2013,2,"0,8",5
FS,FCK,2012,2,"0,25",5
HF,FCB,2019,2,"1,8",5
HH,FCA,2020,2,1,5
HS,S04,2019,2,"0,8",5
HS,VFB,2014,2,"1,6",5
HS,S04,2011,2,2,5
JK,S04,2012,2,1,5
JKR,VFB,2015,2,"1,6",5
JLU,BSC,2012,2,"1,4",5
JN,FCB,2021,2,"2,6",5
JN,TSGH,2016,2,"1,4",5
JZ,HSV,2014,2,1,5
LPR,SGF,2013,2,"0,67",5
MBA,S04,2020,2,"0,6",5
MBA,FCA,2016,2,2,5
MF,VFLW,2021,2,"0,2",5
MG,FCK,2019,2,"1,4",5
MG,TSGH,2013,2,"1,6",5
MKO,DSC,2022,2,"0,5",5
MKU,TSGH,2012,2,"0,8",5
MRA,TSGH,2020,2,"2,25",5
MSC,VFLW,2017,2,1,5
MSC,FSVM,2015,2,"1,6",5
NK,FCB,2018,2,"2,6",5
PB,BVB,2017,2,"2,6",5
PD,BSC,2023,2,"0,8",5
PD,BSC,2015,2,"1,4",5
RC,HSV,2011,2,1,5
RDM,S04,2014,2,"1,8",5
RDU,SVW,2013,2,0,5
RR,RBL,2018,2,"1,6",5
TD,H96,2018,2,"0,6",5
TD,B04,2018,2,"2,4",5
TF,HSV,2011,2,"1,4",5
TFR,SVD,2016,2,"0,8",5
TK,BSC,2021,2,"1,4",5
TK,H96,2013,2,"1,2",5
TR,S04,2022,2,"0,6",5
TT,FCB,2023,2,2,5
UR,F95,2020,2,"1,2",5
VIS,VFLW,2016,2,"0,8",5
XA,B04,2022,2,"1,4",5
ABE,RBL,2021,2,3,6
ABR,TSGH,2022,2,"1,8",6
AJO,VFLW,2017,2,"1,6",6
BLAB,BSC,2020,2,2,6
BLAB,HSV,2015,2,"1,4",6
BVM,HSV,2013,2,"1,6",6
CT,HSV,2018,2,"1,4",6
DAST,H96,2016,2,"1,6",6
DH,BMG,2016,2,"1,6",6
ETE,BVB,2020,2,2,6
FF,FCK,2021,2,"1,4",6
FKO,VFLW,2021,2,"1,4",6
FKO,SVW,2017,2,"1,8",6
FMA,BSC,2022,2,"1,4",6
GS,B04,2021,2,2,6
HS,VFB,2014,2,"1,4",6
HW,B04,2021,2,2,6
JH,FCB,2017,2,3,6
JKL,BSC,2019,2,"1,6",6
JN,RBL,2019,2,"2,6",6
LFA,BVB,2018,2,"2,2",6
LGK,VFLW,2012,2,2,6
MF,H96,2015,2,"1,6",6
MR,RBL,2022,2,2,6
MR,BMG,2019,2,2,6
MSL,HSV,2014,2,"1,4",6
MVB,VFLW,2021,2,"2,6",6
MWA,FCI,2016,2,2,6
MWI,VFB,2022,2,"1,8",6
NW,VFB,2019,2,"1,75",6
OR,BSC,2012,2,"1,2",6
PST,BVB,2017,2,"1,8",6
SH,VFB,2023,2,"1,6",6
SLE,B04,2014,2,"2,6",6
SLE,B04,2012,2,"2,2",6
SR,FCK,2017,2,"1,8",6
TL,VFLB,2022,2,"1,2",6
TS,SGE,2014,2,"1,2",6
TSCH,VFB,2013,2,"2,2",6
TT,BVB,2015,2,2,6
VS,SVW,2014,2,"1,8",6
ASC,BMG,2015,2,3,7
TK,VFB,2018,2,"2,6",7
